id,body,comment_count,community_owned_date,creation_date,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,post_type_id,score,tags
4164933,"<p><a href=""http://en.wikipedia.org/wiki/Argument-dependent_name_lookup"" rel=""nofollow"">ADL</a> is mostly associated with <a href=""/tags/c++/info"">C++</a>.</p>",0,,2010-11-12 13:10:14.273000+00:00,2010-11-12 15:48:57.207000+00:00,2010-11-12 15:48:57.207000+00:00,Roger Pate,,,-1,3,0,
4164934,"ADL is argument-dependent lookup, sometimes called Koenig lookup.",0,,2010-11-12 13:10:14.273000+00:00,2010-11-12 15:48:57.237000+00:00,2010-11-12 15:48:57.237000+00:00,Roger Pate,,,-1,3,0,
3625172,"<p>Emacs Lisp is the extension language for the GNU Emacs text editor, and in fact, most of the functionality of Emacs is implemented using Emacs Lisp.  Users generally customize Emacs' behavior by adding Emacs Lisp statements to their .emacs, or writing separate packages.  A guide to learning Emacs Lisp for non-programmers can be found here.</p>

<p>Emacs Lisp differs from most other lisps in two main ways:</p>

<p>It has special features for scanning and parsing text, </p>",0,,2010-08-02 18:22:47.767000+00:00,2010-08-02 18:22:47.767000+00:00,2010-08-02 18:22:47.767000+00:00,,6148,,-1,3,0,
3625171,"<p><a href=""http://www.gnu.org/software/emacs/manual/html_node/elisp/index.html"" rel=""nofollow noreferrer"">Emacs Lisp</a> is the extension language for the <a href=""http://www.gnu.org/software/emacs/"" rel=""nofollow noreferrer"">GNU Emacs text editor</a>, and in fact, most of the functionality of Emacs is implemented using Emacs Lisp.  Users generally customize Emacs' behavior by adding Emacs Lisp statements to their .emacs, or writing separate packages.  A guide to learning Emacs Lisp for non-programmers can be found <a href=""http://www.gnu.org/software/emacs/emacs-lisp-intro/html_node/index.html"" rel=""nofollow noreferrer"">here</a>.</p>

<p>Emacs Lisp differs from most other lisps in two main ways:</p>

<ol>
<li>It has special features for scanning and parsing text, as well as features for handling files, buffers, arrays, displays, and subprocesses.  This is due to the fact that it is designed to be used in a text editor</li>
<li>It uses <a href=""http://en.wikipedia.org/wiki/Scope_(programming)#Dynamic_scoping"" rel=""nofollow noreferrer"">dynamic scope</a> as opposed to lexical scope.  This was done very intentionally, the reasons are well explained in the <a href=""http://www.gnu.org/software/emacs/emacs-paper.html#SEC17"" rel=""nofollow noreferrer"">1981 paper</a> on Emacs.</li>
</ol>

<h2>Wisdom from the Stack</h2>

<ul>
<li><a href=""http://stackoverflow.com/questions/154097/whats-in-your-emacs"">What's in your .emacs?</a></li>
<li><a href=""http://stackoverflow.com/questions/41522/tips-for-learning-elisp"">Tips for learning Elisp?</a></li>
<li><a href=""http://stackoverflow.com/questions/2241111/lisp-community-quality-tutorials-resources"">Lisp Community - Quality tutorials/resources</a></li>
<li><a href=""http://stackoverflow.com/questions/2087532/troubleshooting-techniques-for-emacs-and-elisp"">Troubleshooting techniques for Emacs and Elisp</a> </li>
</ul>",0,,2010-08-02 18:22:47.767000+00:00,2010-08-02 18:22:47.767000+00:00,2010-08-02 18:22:47.767000+00:00,,6148,,-1,3,0,
5149479,A setting in jQuery AJAX that allows you to sanitize responses.,0,,2011-03-01 01:13:46.040000+00:00,2011-03-01 01:50:43.010000+00:00,2011-03-01 01:50:43.010000+00:00,,7173,,-1,3,0,
5149478,"<p><a href=""http://api.jquery.com/jQuery.ajax/"" rel=""nofollow"">See more here</a> (scroll to <strong>dataFilter</strong>)</p>",0,,2011-03-01 01:13:46.040000+00:00,2011-03-01 01:50:43.913000+00:00,2011-03-01 01:50:43.913000+00:00,,7173,,-1,3,0,
5746108,"The manager is a pre-installed webapp on Apache Tomcat to remotely manage (install, remove, restart etc.) webapps.",0,,2011-04-21 15:15:01.707000+00:00,2011-04-21 15:34:50.673000+00:00,2011-04-21 15:34:50.673000+00:00,,638471,,-1,3,0,
5746107,"<p>For more information about the manager app of Apache Tomcat see the official documentation:
<a href=""http://tomcat.apache.org/tomcat-5.5-doc/manager-howto.html"" rel=""nofollow"">http://tomcat.apache.org/tomcat-5.5-doc/manager-howto.html</a></p>",0,,2011-04-21 15:15:01.707000+00:00,2011-04-21 15:35:21.520000+00:00,2011-04-21 15:35:21.520000+00:00,,638471,,-1,3,0,
3625211,"<p>This tag is for questions about migrating existing applications, or legacy code, from Visual Basic 6 to a more modern platform. Unfortunately migration is usually a tricky task. The most common target platforms are VB.Net and C#. </p>

<p>Here are some typical motives for migration </p>

<p>To use a more modern programming language for enhancements. </p>

<p>This will give some increase in productivity. 
This also keeps the developers happy, which is a valid business benefit </p>",0,,2010-08-05 17:30:34.703000+00:00,2010-09-02 08:23:06.010000+00:00,2010-09-02 08:23:06.010000+00:00,,15639,,-1,3,0,
3625210,"<p>This tag is for questions about migrating <strong>existing applications</strong>, or <em>legacy code</em>, from <a href=""http://stackoverflow.com/questions/tagged?tagnames=vb6&amp;sort=info&amp;pagesize=50"">Visual Basic 6</a> to a more modern platform. Unfortunately migration is usually a tricky task. The most common target platforms are <a href=""http://stackoverflow.com/questions/tagged?tagnames=vb.net&amp;sort=info&amp;pagesize=50"">VB.Net</a> and <a href=""http://stackoverflow.com/questions/tagged?tagnames=c%23&amp;sort=info&amp;pagesize=50"">C#</a>. </p>

<p>Here are some typical motives for migration </p>

<ul>
<li>To use a more modern programming language for <strong>enhancements</strong>. 

<ul>
<li>This will give some increase in productivity. </li>
<li>This also keeps the developers happy, which is a valid business benefit in itself. There are <a href=""http://forums.construx.com/blogs/stevemcc/archive/2008/03/27/productivity-variations-among-software-developers-and-teams-the-origin-of-quot-10x-quot.aspx"" rel=""nofollow noreferrer"">bigger gains in productivity</a> from attracting and retaining <a href=""http://www.joelonsoftware.com/articles/HighNotes.html"" rel=""nofollow noreferrer"">good developers</a> than anything else. </li>
</ul></li>
<li>To use a <strong>fully supported</strong> programming stack. 

<ul>
<li>Although the VB6 runtime is still <a href=""http://msdn.microsoft.com/en-us/vbrun/ms788708.aspx"" rel=""nofollow noreferrer"">fully supported</a> by Microsoft as part of Windows, many people worry that support will be dropped one day. The VB6 IDE is no longer supported. </li>
</ul></li>
</ul>

<p><strong>Frequently asked questions</strong></p>

<ul>
<li><em>What is the best strategy for migration?</em> There are a range of different opinions, as can be seen from the <a href=""http://stackoverflow.com/questions/tagged?tagnames=vb-migration&amp;sort=votes&amp;pagesize=50"">questions tagged <code>vb-migration</code></a>! For what it's worth, here is a <a href=""http://msdn.microsoft.com/en-gb/dd408373.aspx"" rel=""nofollow noreferrer"">Microsoft UK page with their advice</a>. </li>
<li><a href=""http://stackoverflow.com/questions/507291/should-we-select-vb-net-or-c-when-upgrading-our-legacy-apps"">Should we select VB.Net or C#?</a> </li>
<li><a href=""http://stackoverflow.com/questions/3319561/risks-around-relying-on-vb6-applications"">What are the risks around continuing to rely on VB6 applications?</a> </li>
<li><a href=""http://stackoverflow.com/questions/400479/vb6-lives-forever-like-cobol"">Will VB6 live forever like COBOL?</a></li>
</ul>",0,,2010-08-05 17:30:34.703000+00:00,2010-09-02 08:23:06.010000+00:00,2010-09-02 08:23:06.010000+00:00,,15639,,-1,3,0,
